episode,hazard_type,rewards,collisions,hazard_encounters
1,weather_change,-400.0,40,5
2,static_obstacle,-500.0,46,5
3,static_obstacle,-500.0,46,5
4,static_obstacle,-500.0,48,5
5,static_obstacle,-400.0,42,5
6,weather_change,-300.0,28,5
7,dynamic_event,-300.0,28,5
8,static_obstacle,-300.0,38,5
9,weather_change,-300.0,29,5
10,dynamic_event,-200.0,18,5
11,weather_change,-200.0,17,5
12,weather_change,-200.0,21,5
13,weather_change,-300.0,27,5
14,weather_change,-300.0,31,5
15,static_obstacle,-300.0,35,5
16,static_obstacle,-400.0,47,5
17,static_obstacle,-400.0,47,5
18,dynamic_event,-400.0,55,5
19,dynamic_event,-300.0,39,5
20,dynamic_event,-400.0,45,5
21,static_obstacle,-400.0,45,5
22,static_obstacle,-500.0,54,5
23,weather_change,-500.0,56,5
24,dynamic_event,-400.0,49,5
25,weather_change,-300.0,38,5
26,weather_change,-300.0,34,5
27,dynamic_event,-300.0,48,5
28,dynamic_event,-300.0,30,5
29,dynamic_event,-300.0,28,5
30,dynamic_event,-300.0,49,5
31,weather_change,-500.0,59,5
32,static_obstacle,-400.0,49,5
33,weather_change,-400.0,28,5
34,static_obstacle,-400.0,36,5
35,dynamic_event,-400.0,37,5
36,static_obstacle,-400.0,38,5
37,static_obstacle,-300.0,33,5
38,dynamic_event,-200.0,29,5
39,static_obstacle,-200.0,22,5
40,static_obstacle,-300.0,31,5
41,static_obstacle,-300.0,26,5
42,weather_change,-200.0,20,5
43,weather_change,-200.0,18,5
44,weather_change,-200.0,18,5
45,static_obstacle,-200.0,19,5
46,dynamic_event,-300.0,28,5
47,dynamic_event,-300.0,28,5
48,weather_change,-300.0,26,5
49,weather_change,-300.0,26,5
50,weather_change,-400.0,38,5
